cur pt: 0, code[pointer]: 1, relative_base: 0
cur pt: 4, code[pointer]: 109, relative_base: 0
cur pt: 6, code[pointer]: 1101, relative_base: 3080
cur pt: 10, code[pointer]: 1101, relative_base: 3080
cur pt: 14, code[pointer]: 1001, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
cur pt: 21, code[pointer]: 1002, relative_base: 3080
cur pt: 25, code[pointer]: 1001, relative_base: 3080
cur pt: 29, code[pointer]: 1001, relative_base: 3080
cur pt: 33, code[pointer]: 1105, relative_base: 3080
cur pt: 18, code[pointer]: 1006, relative_base: 3080
