cur pt: 0, code[pointer]: 3
cur pt: 2, code[pointer]: 1
cur pt: 6, code[pointer]: 1101
cur pt: 10, code[pointer]: 104
cur pt: 12, code[pointer]: 1002
cur pt: 16, code[pointer]: 1001
cur pt: 20, code[pointer]: 4
cur pt: 22, code[pointer]: 1002
cur pt: 26, code[pointer]: 1001
cur pt: 30, code[pointer]: 1
cur pt: 34, code[pointer]: 1
cur pt: 38, code[pointer]: 1001
cur pt: 42, code[pointer]: 4
cur pt: 44, code[pointer]: 102
cur pt: 48, code[pointer]: 101
cur pt: 52, code[pointer]: 1
cur pt: 56, code[pointer]: 1001
cur pt: 60, code[pointer]: 1001
cur pt: 64, code[pointer]: 4
cur pt: 66, code[pointer]: 102
cur pt: 70, code[pointer]: 1001
cur pt: 74, code[pointer]: 1
cur pt: 78, code[pointer]: 101
cur pt: 82, code[pointer]: 101
cur pt: 86, code[pointer]: 4
cur pt: 88, code[pointer]: 1002
cur pt: 92, code[pointer]: 101
cur pt: 96, code[pointer]: 1
cur pt: 100, code[pointer]: 1101
cur pt: 104, code[pointer]: 1101
cur pt: 108, code[pointer]: 1101
cur pt: 112, code[pointer]: 1102
cur pt: 116, code[pointer]: 1101
cur pt: 120, code[pointer]: 1102
cur pt: 124, code[pointer]: 101
cur pt: 128, code[pointer]: 4
cur pt: 130, code[pointer]: 1002
cur pt: 134, code[pointer]: 101
cur pt: 138, code[pointer]: 1
cur pt: 142, code[pointer]: 1101
cur pt: 146, code[pointer]: 101
cur pt: 150, code[pointer]: 4
cur pt: 152, code[pointer]: 102
cur pt: 156, code[pointer]: 1001
cur pt: 160, code[pointer]: 1
cur pt: 164, code[pointer]: 1102
cur pt: 168, code[pointer]: 1101
cur pt: 172, code[pointer]: 2
cur pt: 176, code[pointer]: 1001
cur pt: 180, code[pointer]: 4
cur pt: 182, code[pointer]: 102
cur pt: 186, code[pointer]: 101
cur pt: 190, code[pointer]: 1
cur pt: 194, code[pointer]: 1102
cur pt: 198, code[pointer]: 102
cur pt: 202, code[pointer]: 101
cur pt: 206, code[pointer]: 4
cur pt: 208, code[pointer]: 1002
cur pt: 212, code[pointer]: 101
cur pt: 216, code[pointer]: 1
cur pt: 220, code[pointer]: 4
cur pt: 222, code[pointer]: 99
